第1章 五帝本纪
第2章 夏本纪
第3章 殷本纪
第4章 周本纪
第5章 秦本纪
第6章 秦始皇本纪
第7章 项羽本纪
第8章 高祖本纪
第9章 吕太后本纪
第10章 孝文本纪
第11章 孝景本纪
第12章 孝武本纪
第13章 三代世表
第14章 十二诸侯年表
第15章 六国年表
第16章 秦楚之际月表
第17章 汉兴以来诸侯王年表
第18章 高祖功臣侯者年表
第19章 惠景间侯者年表
第20章 建元以来侯者年表
第21章 建元已来王子侯者年表
第22章 礼书
第23章 乐书
第24章 律书
第25章 历书
第26章 天官书
第27章 封禅书
第28章 河渠书
第29章 平准书
第30章 吴太伯世家
第31章 齐太公世家
第32章 鲁周公世家
第33章 燕召公世家
第34章 管蔡世家
第35章 陈杞世家
第36章 卫康叔世家
第37章 宋微子世家
第38章 晋世家
第39章 楚世家
第40章 越王句践世家
第41章 郑世家
第42章 赵世家
第43章 魏世家
第44章 韩世家
第45章 田敬仲完世家
第46章 孔子世家
第47章 陈涉世家
第48章 外戚世家
第49章 楚元王世家
第50章 荆燕世家
第51章 齐悼惠王世家
第52章 萧相国世家
第53章 曹相国世家
第54章 留侯世家
第55章 陈丞相世家
第56章 绛侯周勃世家
第57章 梁孝王世家
第58章 五宗世家
第59章 三王世家
第60章 伯夷列传
第61章 管晏列传
第62章 老子韩非列传
第63章 司马穰苴列传
第64章 孙子吴起列传
第65章 伍子胥列传
第66章 仲尼弟子列传
第67章 商君列传
第68章 苏秦列传
第69章 张仪列传
第70章 樗里子甘茂列传
第71章 穰侯列传
第72章 白起王翦列传
第73章 孟子荀卿列传
第74章 孟尝君列传
第75章 平原君虞卿列传
第76章 魏公子列传
第77章 春申君列传
第78章 范睢蔡泽列传
第79章 乐毅列传
第80章 廉颇蔺相如列传
第81章 田单列传
第82章 鲁仲连邹阳列传
第83章 屈原贾生列传
第84章 吕不韦列传
第85章 刺客列传
第86章 李斯列传
第87章 蒙恬列传
第88章 张耳陈馀列传
第89章 魏豹彭越列传
第90章 黥布列传
第91章 淮阴侯列传
第92章 韩信卢绾列传
第93章 田儋列传
第94章 樊郦滕灌列传
第95章 张丞相列传
第96章 郦生陆贾列传
第97章 傅靳蒯成列传
第98章 刘敬叔孙通列传
第99章 季布栾布列传
第100章 袁盎晁错列传
第101章 张释之冯唐列传
第102章 万石张叔列传
第103章 田叔列传
第104章 扁鹊仓公列传
第105章 吴王濞列传
第106章 魏其武安侯列传
第107章 韩长孺列传
第108章 李将军列传
第109章 匈奴列传
第110章 卫将军骠骑列传
第111章 平津侯主父列传
第112章 南越列传
第113章 东越列传
第114章 朝鲜列传
第115章 西南夷列传
第116章 司马相如列传
第117章 淮南衡山列传
第118章 循吏列传
第119章 汲郑列传
第120章 儒林列传
第121章 酷吏列传
第122章 大宛列传
第123章 游侠列传
第124章 佞幸列传
第125章 滑稽列传
第126章 日者列传
第127章 龟策列传
第128章 货殖列传
第129章 太史公自序
